ticker,date,source,na_sentiment_score_mean,na_sentiment_score_std,na_sentiment_score_count,na_positive_score_mean,na_negative_score_mean,na_neutral_score_mean
MS,2026-01-27,newsapi,0.8143605589866638,0.1593568835036688,8,0.07985869888216257,0.5203008463140577,0.39984045503661036
MSFT,2026-01-22,newsapi,0.8760491907596588,0.03088693066644458,4,0.48132143821567297,0.029655057936906815,0.48902348428964615
MSFT,2026-01-23,newsapi,0.8433717489242554,,1,0.8433717489242554,0.11368093639612198,0.04294731467962265
MSFT,2026-01-25,newsapi,0.8238971829414368,0.13113336101592937,4,0.09805880580097437,0.07804400660097599,0.8238971829414368
MSFT,2026-01-26,newsapi,0.874613915170942,0.10356420364071267,7,0.2193705514073372,0.29337453097105026,0.4872549112354006
MSFT,2026-01-27,newsapi,0.6309744119644165,0.09495271930389018,2,0.5166532099246979,0.3936511501669884,0.08969558402895927
NVDA,2026-01-22,newsapi,0.8245388106866316,0.1552565829078337,11,0.47456473230638285,0.23631986349143766,0.28911538659171626
NVDA,2026-01-23,newsapi,0.8468823896514045,0.16158284039187892,9,0.2672757139015529,0.46436735340911484,0.2683569478491942
NVDA,2026-01-25,newsapi,0.9216668903827667,0.04971376725199441,2,0.021996706258505583,0.5192620903253555,0.4587412253022194
NVDA,2026-01-26,newsapi,0.8689814135432243,0.13675162957507916,8,0.4531735639902763,0.25161823467351496,0.29520818940363824
ORCL,2026-01-22,newsapi,0.8133180737495422,0.20029278230438127,2,0.14055951964110136,0.8133180737495422,0.046122390776872635
ORCL,2026-01-23,newsapi,0.8700924813747406,0.07297773181194664,2,0.8700924813747406,0.016855695052072406,0.11305182985961437
ORCL,2026-01-24,newsapi,0.8730964660644531,,1,0.08890855312347412,0.037994902580976486,0.8730964660644531
ORCL,2026-01-25,newsapi,0.8781185746192932,,1,0.10984901338815689,0.01203239243477583,0.8781185746192932
ORCL,2026-01-26,newsapi,0.964962899684906,,1,0.008373626507818699,0.964962899684906,0.026663336902856827
ORCL,2026-01-27,newsapi,0.9422083497047424,,1,0.020359717309474945,0.0374319851398468,0.9422083497047424
PEP,2026-01-22,newsapi,0.8334463834762573,,1,0.035188961774110794,0.13136465847492218,0.8334463834762573
PEP,2026-01-24,newsapi,0.7543087005615234,,1,0.18720592558383942,0.058485377579927444,0.7543087005615234
PEP,2026-01-26,newsapi,0.752160094678402,0.1969844453343972,4,0.0733370017260313,0.21219726279377937,0.7144657447934151
PFE,2026-01-25,newsapi,0.7929818034172058,,1,0.19351625442504883,0.013501930981874466,0.7929818034172058
PG,2026-01-22,newsapi,0.8530880908171335,0.09170294924932669,6,0.22054120184232792,0.2997107810030381,0.47974802646785975
PG,2026-01-23,newsapi,0.9744015336036682,0.001983936453104804,2,0.008718692231923342,0.9744015336036682,0.016879785805940628
PG,2026-01-24,newsapi,0.7543087005615234,,1,0.18720592558383942,0.058485377579927444,0.7543087005615234
PG,2026-01-25,newsapi,0.481302410364151,,1,0.2734035551548004,0.24529404938220978,0.481302410364151
PG,2026-01-26,newsapi,0.9185712138811747,0.01110633900928443,3,0.35526083409786224,0.02146384430428346,0.6232752824823061
PG,2026-01-27,newsapi,0.8074544370174408,0.15462772561404037,2,0.3669816814363003,0.13541476428508759,0.49760349467396736
RELIANCE,2026-01-26,newsapi,0.8041039620126996,0.13454826418158725,14,0.3860917326861194,0.18479238556964056,0.4291158832077469
RELIANCE,2026-01-27,newsapi,0.8082017472812107,0.14128910454106305,35,0.3370309759862721,0.1770919301680156,0.48587709409849983
SLB,2026-01-23,newsapi,0.9716170430183411,0.001953927896965047,2,0.011049807537347078,0.9716170430183411,0.017333143390715122
SLB,2026-01-24,newsapi,0.9337866306304932,,1,0.04843400418758392,0.01777935028076172,0.9337866306304932
SLB,2026-01-25,newsapi,0.869691789150238,,1,0.019299712032079697,0.11100849509239197,0.869691789150238
TCS,2026-01-23,newsapi,0.9315849542617798,0.06253572365282711,2,0.4484096276573837,0.5139120407402515,0.037678309716284275
TCS,2026-01-24,newsapi,0.9516099095344543,,1,0.019636493176221848,0.9516099095344543,0.02875358983874321
TCS,2026-01-25,newsapi,0.9619229435920715,,1,0.0256365779787302,0.9619229435920715,0.012440398335456848
TCS,2026-01-27,newsapi,0.9552903175354004,,1,0.9552903175354004,0.01808878779411316,0.026620805263519287
TSLA,2026-01-22,newsapi,0.7329434901475906,0.10532928046532884,4,0.0855254502967,0.5705281682312489,0.343946386128664
TSLA,2026-01-23,newsapi,0.806880255540212,0.14063189705480017,9,0.3208902852816714,0.3511456706457668,0.3279640573180384
TSLA,2026-01-25,newsapi,0.7866402467091879,0.13215700351968115,3,0.11485942577322324,0.0985003188252449,0.7866402467091879
TSLA,2026-01-26,newsapi,0.9039636850357056,0.08301499364941785,5,0.4308040127158165,0.2158094434067607,0.3533865433186293
TSLA,2026-01-27,newsapi,0.7575116455554962,0.14283368263457077,4,0.260977074271068,0.37449238914996386,0.36453055031597614
UNH,2026-01-22,newsapi,0.7475900053977966,,1,0.04945763200521469,0.20295238494873047,0.7475900053977966
UNH,2026-01-26,newsapi,0.9313957095146179,,1,0.9313957095146179,0.023096291348338127,0.04550791531801224
UNH,2026-01-27,newsapi,0.8796262890100479,0.1243109788816308,4,0.19461963279172778,0.5483589479699731,0.25702137779444456
WMT,2026-01-24,newsapi,0.7543087005615234,,1,0.18720592558383942,0.058485377579927444,0.7543087005615234
XOM,2026-01-24,newsapi,0.7543086409568787,,1,0.1872059851884842,0.058485399931669235,0.7543086409568787
XOM,2026-01-25,newsapi,0.7367034554481506,0.1413111337990838,2,0.1563982591032982,0.10689830221235752,0.7367034554481506
XOM,2026-01-26,newsapi,0.9484027624130249,0.02405160486492381,2,0.47009697929024696,0.494253053329885,0.03564998134970665
XOM,2026-01-27,newsapi,0.7325131297111511,0.04864471243951558,2,0.7325131297111511,0.11675840150564909,0.15072844550013542
